"utm10","Mmo2003","Mmo_P","Mmo_F","Mmo2015"
"VG61",0,0.010858088179208,0.250865618382934,0
"VG62",0,0.0355812568128996,0.529520628302891,0
"VG63",0,0.0210777240701257,0.396442832355952,0
"VG64",0,0.0239899472994617,0.428515262129129,0
"VG65",0,0.0189776756021623,0.371122260773214,0
"VG66",0,0.00922621842444991,0.221230426521892,0
"VG67",0,0.00160356098937641,0.0467083886581959,0
"VG68",0,0.00141295257796728,0.0413785670785158,0
"VG69",0,0.00293821437133005,0.0824826050360471,0
"VG70",0,0.00236665865252097,0.0674849851250774,0
"VG71",0,0.00665397672926481,0.169674231607995,0
"VG72",0,0.0327295105571836,0.507930720206813,0
"VG73",0,0.0344145768263607,0.520905861947728,0
"VG74",0,0.022425115770039,0.411694029803327,0
"VG75",0,0.0111651496224062,0.256201968641357,0
"VG76",0,0.00652117157490764,0.166834205321932,0
"VG77",0,0.00200793414984645,0.0578281321520295,0
"VG78",0,0.00250987551694372,0.0712872162546631,0
"VG79",0,0.00202255796888717,0.0582255768154981,0
"VG80",0,0.00373611333145842,0.10265747075123,0
"VG81",1,0.0126167891308026,0.280475693558003,1
"VG82",0,0.0370976432445864,0.540294430665412,0
"VG83",0,0.0345121139104648,0.521637332806371,0
"VG84",0,0.0147320588032969,0.313251652001621,0
"VG85",0,0.00623315158613303,0.160610325227304,0
"VG86",0,0.00334208699656482,0.0928025882483232,0
"VG87",0,0.00173131818024708,0.0502488279230494,0
"VG88",0,0.0017494096715275,0.0507481322141328,0
"VG89",0,0.001369945241717,0.0401680219399729,0
"VG90",0,0.00213160670968255,0.0611791174561642,0
"VG91",0,0.0142330634330863,0.305779431627213,0
"VG92",0,0.0318114512991982,0.500581515325788,0
"VG93",0,0.0281786373975351,0.469368092453477,0
"VG94",0,0.0191548667157956,0.37333612073158,0
"VG95",0,0.00669627701768915,0.170574916843836,0
"VG96",0,0.00295292782710723,0.082862542698953,0
"VG97",0,0.00134601824835418,0.0394932597402734,0
"VG98",0,0.000438046911463213,0.0131925869072534,0
"VG99",0,0.000735643128448465,0.0219648332992397,0
"VH00",0,0.0191297677657229,0.373023429150573,0
"VH01",0,0.0159353141247943,0.330654269235609,0
"VH02",0,0.00846612533163596,0.206647436316651,0
"VH03",0,0.00689801001858019,0.17484464842796,0
"VH04",0,0.00371405782013295,0.102111302876915,0
"VH05",0,0.000688175408075471,0.0205757479476948,0
"VH06",0,0.000643478691169798,0.0192642619539819,0
"VH07",0,0.000470190219960471,0.0141473951399915,0
"VH08",0,0.000470949886274434,0.0141699392137674,0
"VH09",0,0.000384840040270021,0.0116081557224037,0
"VH10",0,0.0165793598526663,0.339628132622226,0
"VH11",0,0.0176788063527385,0.354429444185626,0
"VH12",0,0.00842452126069979,0.205834106657142,0
"VH13",0,0.00552631456797709,0.144950642896218,0
"VH14",0,0.00256162867487847,0.0726538499704128,0
"VH15",0,0.00106056263482878,0.0313719041842045,0
"VH16",0,0.000848509712636912,0.0252524933397064,0
"VH17",0,0.000674163013608163,0.020164962844454,0
"VH18",0,0.000574367469346831,0.0172297122200863,0
"VH19",0,0.000499437847869531,0.0150146370859199,0
"VH20",0,0.0161844516491558,0.334153023175073,0
"VH21",0,0.0194531595899068,0.377029829599173,0
"VH22",0,0.0110198111179609,0.253685259482484,0
"VH23",0,0.00721256993425238,0.181418765259653,0
"VH24",0,0.00291774279140472,0.0819534731234201,0
"VH25",0,0.00134734605931904,0.0395307291885687,0
"VH26",0,0.000863527169089252,0.025688323140912,0
"VH27",0,0.00102674375722521,0.0304009425486219,0
"VH28",0,0.000830896703688807,0.024740856229008,0
"VH29",0,0.000638347962985629,0.0191134994681561,0
"VH30",0,0.0143879315519913,0.308115038721566,0
"VH31",0,0.0170068801193465,0.345459609789961,0
"VH32",0,0.0149391003180121,0.31630717322868,0
"VH33",0,0.00735015307462968,0.184262647811371,0
"VH34",0,0.00351172673065925,0.0970708535029865,0
"VH35",0,0.00189500147698389,0.05474791938045,0
"VH36",0,0.00187599974669959,0.0542277398132908,0
"VH37",0,0.00143738273595982,0.0420649001397241,0
"VH38",0,0.00146295024283013,0.0427821697245258,0
"VH39",0,0.000955467324266996,0.028348378739528,0
"VH40",0,0.00959315923289815,0.228088012981691,0
"VH41",1,0.0111259043244814,0.255523991186904,1
"VH42",0,0.0104808748391015,0.24420902030697,0
"VH43",0,0.00947644423236946,0.225919365913878,0
"VH44",0,0.0042536441970177,0.115291969544905,0
"VH45",0,0.00197115341233103,0.0568270761756913,0
"VH46",0,0.0028918866391408,0.0812843236630419,0
"VH47",0,0.00235944230376228,0.0672926049255469,0
"VH48",0,0.00173716212518784,0.050410169505813,0
"VH49",0,0.00134165872088119,0.0393702185382243,0
"VH50",0,0.00490816083078668,0.13078802363496,1
"VH51",0,0.00568471139089342,0.148508489465126,0
"VH52",0,0.0060522590840739,0.156655495344951,0
"VH53",0,0.00567901275151738,0.148380982831649,0
"VH54",0,0.00411107091014307,0.111845665453737,0
"VH55",0,0.00310903042419696,0.0868748868531141,0
"VH56",0,0.00408754179388482,0.111274428470586,0
"VH57",0,0.00333912417478406,0.0927276957859079,0
"VH58",0,0.00272071402348812,0.0768305881120974,0
"VH59",0,0.00191462535128966,0.0552845508601529,0
"VH60",0,0.00339288544153537,0.0940847898774674,0
"VH61",0,0.00296005461331485,0.0830464648024223,0
"VH62",0,0.00273071909865465,0.0770920555197777,0
"VH63",0,0.00351391706979793,0.0971257109442271,0
"VH64",0,0.00251387053310135,0.0713928501200273,0
"VH65",0,0.00245347406585774,0.0697934040423739,0
"VH66",0,0.00291672576841292,0.081927170635304,0
"VH67",0,0.00309396776511022,0.0864892039502626,0
"VH68",1,0.00396439210021561,0.108273030815025,1
