"cuadrID","cUTM10","utm10","LLU_1998","LLU98_P","cat","cat_","p_lontra34","a_lontra34","LLU_2008","survey2008","LLU98_D","Llu2015","lati","long","lonUTM","latUTM","lonMoll","latMoll","newpres"
4036,"30TWM65","WM65",0,0.222657362436598,4538,35627,1,0,1,1,0.772264613964536,1,42.0381355,-2.2048054,565820.020541874,4654398.74747333,-183655.137609377,5015915.42677016,1
4037,"30TWM66","WM66",0,0.190785920784235,4539,35628,1,0,1,1,0.820433690763543,1,42.1254425,-2.2045455,565751.328796067,4664093.06984443,-183475.212155651,5025559.49322526,1
4038,"30TWM67","WM67",0,0.167468321881638,4540,35629,2,1,1,1,0.866052199637367,1,42.2140198,-2.2045455,565659.655110679,4673928.38886596,-183314.265661008,5035338.81006602,1
4039,"30TWM68","WM68",0,0.146818979439369,4541,35630,0,1,0,1,0.888881233331458,0,42.3066597,-2.2045455,565563.608035458,4684214.96566083,-183145.541353645,5045561.17972387,0
4040,"30TWM69","WM69",0,0.142975667198849,4542,35631,2,0,1,1,0.893386810567096,1,42.3940964,-2.2045455,565472.797452444,4693923.93868746,-182985.921907405,5055204.25264208,1
4041,"30TWM70","WM70",0,0.181002271156558,4607,36122,0,2,0,1,0.728999142318215,0,41.5805092,-2.0898876,575870.196668615,4603683.27345156,-174863.66055846,4965284.65624743,0
4042,"30TWM71","WM71",0,0.270969187697363,4608,36123,0,1,0,1,0.735513888290324,0,41.6693687,-2.0898876,575766.091461727,4613549.03689516,-174712.758052157,4975126.43045548,0
4043,"30TWM72","WM72",0,0.296678029582464,4609,36124,1,0,1,1,0.732011206092561,1,41.7612038,-2.0898876,575658.307677679,4623745.32840328,-174556.432947757,4985292.44118485,1
4044,"30TWM73","WM73",0,0.227199500331938,4610,36125,0,1,0,1,0.738752056773328,1,41.854702,-2.0898876,575548.371279139,4634126.43551721,-174396.890828988,4995636.97374514,0
4045,"30TWM74","WM74",0,0.205226677986018,4611,36126,1,0,1,1,0.737172645055511,1,41.948719,-2.0898876,575437.620976625,4644565.31243565,-174236.07041012,5006033.21298513,1
4046,"30TWM75","WM75",0,0.181733090717428,4612,36127,1,0,1,1,0.787944040459988,1,42.0360909,-2.0873525,575544.360104656,4654268.75774615,-173875.090985204,5015689.5177457,1
4047,"30TWM76","WM76",0,0.166225272566106,4613,36128,0,1,0,1,0.843839565770253,0,42.1200447,-2.0800858,576045.559524131,4663597.02511722,-173126.188526056,5024963.3876025,0
4048,"30TWM77","WM77",0,0.158311772965537,4614,36129,1,0,1,1,0.915614160558986,1,42.2129402,-2.0795455,575978.977522432,4673912.33154305,-172922.010554158,5035219.64834329,1
4049,"30TWM78","WM78",1,0.162223138523156,4615,36130,0,1,0,1,1,1,42.3051033,-2.0795455,575868.409401117,4684145.99553429,-172763.677649856,5045389.48474795,NA
4050,"30TWM79","WM79",0,0.130314576093116,4616,36131,6,0,1,1,0.918305183300141,1,42.3940659,-2.0795455,575761.493733837,4694024.43360913,-172610.484285294,5055200.88978213,1
4051,"30TWM80","WM80",0,0.170424210315317,4681,36622,0,4,0,1,0.6924719160531,0,41.5803261,-1.9662806,586174.885226021,4603778.96275899,-164521.591538807,4965264.37148926,0
4052,"30TWM81","WM81",0,0.229324912007379,4682,36623,0,2,0,1,0.674059193807396,0,41.6673698,-1.9659481,586086.737972406,4613443.49679053,-164354.722170759,4974905.0948575,0
4053,"30TWM82","WM82",0,0.313900167742324,4683,36624,0,2,0,1,0.681293459988908,0,41.760685,-1.9658743,585968.437117916,4623804.23702162,-164199.13856126,4985235.02603114,0
4054,"30TWM83","WM83",0,0.214190787309652,4684,36625,1,0,1,1,0.725723221146798,1,41.854702,-1.9658743,585842.824510205,4634242.9894257,-164048.231914775,4995636.97374514,1
4055,"30TWM84","WM84",0,0.17078205137913,4685,36626,0,2,0,1,0.773434430875476,0,41.94627,-1.9658732,585720.351789273,4644409.98947355,-163900.808071932,5005762.47928626,0
4056,"30TWM85","WM85",0,0.172308742693849,4686,36627,1,0,1,1,0.819941933021118,1,42.0301514,-1.9656048,585630.102311403,4653723.93544386,-163743.175976421,5015033.24360054,1
4057,"30TWM86","WM86",0,0.13891901273952,4687,36628,0,1,0,1,0.868020676307733,0,42.1192169,-1.9628599,585737.365339193,4663616.12044444,-163370.777872018,5024871.96789739,0
4058,"30TWM87","WM87",0,0.136386002020706,4688,36629,1,0,1,1,0.898665894067538,1,42.2118759,-1.9550614,586256.080199411,4673912.57938806,-162572.407489519,5035102.17462622,1
4059,"30TWM88","WM88",0,0.121937105906373,4689,36630,1,0,1,1,0.888888887735909,1,42.3050842,-1.9545455,586171.656356914,4684262.85975047,-162379.006819175,5045387.3777129,1
4060,"30TWM89","WM89",0,0.128136921814731,4690,36631,4,0,1,1,0.866895501388797,1,42.3940659,-1.9544029,586061.929117384,4694143.59796325,-162223.154558332,5055200.88978213,1
4061,"30TWM90","WM90",0,0.150200524000182,4754,37122,0,0,0,0,0.735025115748227,0,41.5777206,-1.8535112,595579.769248425,4603608.40335113,-155089.929402438,4964975.7184925,0
4062,"30TWM91","WM91",0,0.188067013972594,4755,37123,0,2,0,1,0.699882185530335,0,41.6666679,-1.8480546,595902.780362632,4613490.05609809,-154499.793166036,4974827.37377418,0
4063,"30TWM92","WM92",0,0.213570826469835,4756,37124,0,1,0,1,0.689084392019717,0,41.760685,-1.8467116,595874.758700909,4623930.19678801,-154246.105099948,4985235.02603114,0
4064,"30TWM93","WM93",0,0.216793969221564,4757,37125,0,2,0,1,0.735787620420592,0,41.8528023,-1.846591,595747.512057856,4634158.20337317,-154097.149565511,4995426.84927626,0
4065,"30TWM94","WM94",0,0.151498354057162,4758,37126,0,0,0,0,0.786690244147294,0,41.9407501,-1.846591,595616.220831361,4643923.27999848,-153964.241395757,5005152.24742926,0
4066,"30TWM95","WM95",0,0.142658999037291,4759,37127,1,0,1,1,0.845918370022489,0,42.0297661,-1.8465152,595489.379465392,4653807.19360891,-153823.093931727,5014990.6697938,1
4067,"30TWM96","WM96",0,0.132358733356823,4760,37128,0,1,0,1,0.914693685686569,0,42.1186485,-1.8452349,595462.064180388,4663677.76646313,-153581.595685981,5024809.19527828,0
4068,"30TWM97","WM97",1,0.123153527916316,4761,37129,2,0,1,1,1,1,42.2118645,-1.8423008,595564.215725935,4674031.53839887,-153195.858838831,5035100.91633003,0
