idnum,utmcode,lat,lon,alydic2002,alydic2015,alydic_p
1255,29TNH61,42.5856743,-8.2239952,0,0,7.56E-24
1256,29TNH62,42.6774826,-8.2204351,0,0,7.44E-25
1257,29TNH63,42.7663574,-8.2190828,0,0,5.30E-26
1258,29TNH64,42.8567772,-8.2164507,0,0,3.35E-28
1259,29TNH65,42.9459801,-8.2182608,0,0,9.05E-30
1260,29TNH66,43.0361671,-8.2165222,0,0,6.99E-31
1261,29TNH67,43.1221504,-8.21105,0,0,4.10E-32
1262,29TNH68,43.2079582,-8.21103,0,0,2.80E-33
1263,29TNH69,43.2926712,-8.2115898,0,0,1.73E-34
1264,29TNH70,42.4942322,-8.0995789,0,0,1.36E-21
1265,29TNH71,42.5854187,-8.0972948,0,0,1.20E-22
1266,29TNH72,42.6759148,-8.0976868,0,0,1.37E-23
1267,29TNH73,42.7663574,-8.0952053,0,0,6.38E-25
1268,29TNH74,42.8539047,-8.0946741,0,0,1.54E-27
1269,29TNH75,42.9459763,-8.0913019,0,0,1.48E-29
1270,29TNH76,43.0349464,-8.0886173,0,0,1.22E-30
1271,29TNH77,43.1216507,-8.0900478,0,0,1.06E-31
1272,29TNH78,43.2052345,-8.0858688,0,0,1.58E-32
1273,29TNH79,43.2926483,-8.0842323,0,0,1.62E-33
1274,29TNH80,42.4956169,-7.9771662,0,0,2.05E-20
1275,29TNH81,42.5846977,-7.9741926,0,0,4.11E-21
1276,29TNH82,42.6740265,-7.9723845,0,0,3.91E-22
1277,29TNH83,42.7638741,-7.9742608,0,0,1.45E-23
1278,29TNH84,42.8557053,-7.9706287,0,0,2.93E-26
1279,29TNH85,42.9449615,-7.9661198,0,0,3.27E-28
1280,29TNH86,43.0335541,-7.9656353,0,0,1.11E-29
1281,29TNH87,43.1179504,-7.9642296,0,0,7.12E-31
1282,29TNH88,43.2058792,-7.9637122,0,0,7.29E-32
1283,29TNH89,43.2913094,-7.9597154,0,0,9.29E-33
1284,29TNH90,42.4954109,-7.8559532,0,0,8.68E-20
1285,29TNH91,42.5835915,-7.8531995,0,0,3.22E-20
1286,29TNH92,42.6723251,-7.8534684,0,0,4.67E-21
1287,29TNH93,42.7626228,-7.8484607,0,0,1.86E-22
1288,29TNH94,42.8543854,-7.8480978,0,0,5.17E-25
1289,29TNH95,42.9438248,-7.8471003,0,0,2.45E-27
1290,29TNH96,43.0309448,-7.8426352,0,0,7.29E-29
1291,29TNH97,43.1174316,-7.841949,0,0,3.11E-30
1292,29TNH98,43.2036934,-7.8396335,0,0,2.50E-31
1293,29TNH99,43.2910805,-7.837832,0,0,5.47E-32
1294,29TNJ40,43.3525581,-8.434947,0,0,7.37E-37
1295,29TNJ50,43.3625526,-8.3037014,0,0,1.45E-35
1296,29TNJ51,43.4698181,-8.2920361,0,0,1.14E-35
1297,29TNJ52,43.5310745,-8.2880659,0,0,4.72E-36
1298,29TNJ60,43.3810234,-8.1947947,0,0,3.19E-35
1299,29TNJ61,43.4726105,-8.2054882,0,0,1.55E-35
1300,29TNJ62,43.5424652,-8.1891279,0,0,1.23E-35
1301,29TNJ70,43.3804169,-8.0834064,0,0,2.75E-34
1302,29TNJ71,43.4667664,-8.0803909,0,0,9.92E-35
1303,29TNJ72,43.553997,-8.0802498,0,0,4.22E-35
1304,29TNJ73,43.6298599,-8.0523014,0,0,5.44E-35
1306,29TNJ80,43.3782349,-7.9562201,0,0,2.05E-33
1307,29TNJ81,43.4649887,-7.9576311,0,0,3.71E-34
1308,29TNJ82,43.5507088,-7.9548688,0,0,1.12E-34
1309,29TNJ83,43.6393394,-7.9530616,0,0,1.26E-34
1310,29TNJ84,43.6998596,-7.9220572,0,0,2.02E-34
1311,29TNJ90,43.3747482,-7.8361769,0,0,1.21E-32
1312,29TNJ91,43.4615517,-7.8327622,0,0,1.65E-33
1313,29TNJ92,43.550705,-7.8321037,0,0,3.52E-34
1314,29TNJ93,43.6330376,-7.8246403,0,0,2.07E-34
